,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
0,DATE,SOURCE_ID,EXTERNAL_REFERENCE,RECORD_TYPE,DESCRIPTION,NET_CREDIT_AMOUNT,NET_DEBIT_AMOUNT,GROSS_AMOUNT,SELLER_AMOUNT,MP_FEE_AMOUNT,FINANCING_FEE_AMOUNT,SHIPPING_FEE_AMOUNT,TAXES_AMOUNT,COUPON_AMOUNT,INSTALLMENTS,PAYMENT_METHOD,TAX_DETAIL,TAX_AMOUNT_TELCO,TRANSACTION_APPROVAL_DATE,POS_ID,POS_NAME,EXTERNAL_POS_ID,STORE_ID,STORE_NAME,EXTERNAL_STORE_ID,CURRENCY,TAXES_DISAGGREGATED,SHIPPING_ID,SHIPMENT_MODE,ORDER_ID,PACK_ID,METADATA,EFFECTIVE_COUPON_AMOUNT,POI_ID,CARD_INITIAL_NUMBER,OPERATION_TAGS,ITEM_ID,POI_BANK_NAME,POI_WALLET_NAME,BUSINESS_UNIT,SUB_UNIT,BALANCE_AMOUNT,PAYOUT_BANK_ACCOUNT_NUMBER,PRODUCT_SKU,SALE_DETAIL
43,2024-01-08T22:53:04.000-03:00,68985934602,2000007181657536,release,payment,2212.75,0.00,2650.00,0.00,-437.25,0.00,0.00,0.00,0.00,1,visa,,0.00,2023-12-18T00:13:54.000-03:00,,,,,,,BRL,"""[]""",42922442720,custom,2000007181657536,,"""{""official_store_id"":null}""",0.00,,485464,,MLB3428434259,,,Mercado Libre, ,39038.47,,,"""""""Bebedouro Industrial 100  - Ideal P Academia Escolas Igrejas"""""""
44,2024-01-08T23:48:56.000-03:00,67734044394,2000006999491336,release,reserve_for_dispute,2212.75,0.00,2212.75,0.00,0.00,0.00,0.00,0.00,0.00,10,master,,0.00,2024-01-08T23:48:56.000-03:00,,,,,,,BRL,"""[]""",42844403054,custom,2000006999491336,,"""{""official_store_id"":null}""",0,,534516,,MLB3428434259,,,Mercado Libre, ,41251.22,,,"""""""Bebedouro Industrial 100  - Ideal P Academia Escolas Igrejas"""""""
45,2024-01-08T23:59:57.000-03:00,67589105694,2000006978476576,release,reserve_for_dispute,2212.75,0.00,2212.75,0.00,0.00,0.00,0.00,0.00,0.00,10,visa,,0.00,2024-01-08T23:59:57.000-03:00,,,,,,,BRL,"""[]""",42835371871,custom,2000006978476576,,"""{""official_store_id"":null}""",0,,496045,,MLB3428434259,,,Mercado Libre, ,43463.97,,,"""""""Bebedouro Industrial 100  - Ideal P Academia Escolas Igrejas"""""""
46,2024-01-09T03:50:41.000-03:00,68337176952,2000007085560922,release,payment,1918.83,0.00,2298.00,0.00,-379.17,0.00,0.00,0.00,0.00,1,bolbradesco,,0.00,2023-12-12T04:51:28.000-03:00,,,,,,,BRL,"""[]""",42881333593,custom,2000007085560922,,"""{""official_store_id"":null}""",0.00,,,,MLB1346937656,,,Mercado Libre, ,45382.80,,,"""""""Bebedouro Refrigerador Industrial Inox 50 Litros C/ Filtro"""""""
47,2024-01-09T04:38:51.000-03:00,1029571707192,,release,asset_management,11.83,0.00,11.83,0.00,0.00,0.00,0.00,0.00,0.00,1,available_money,,0.00,2024-01-09T04:38:51.000-03:00,,,,,,,BRL,"""[]""",,,,,"""{}""",0.00,,,,,,,,,45394.63,,,
48,2024-01-09T09:27:51.000-03:00,68626097586,2000007127080992,release,payment,6638.25,0.00,7950.00,0.00,-1311.75,0.00,0.00,0.00,0.00,1,master,,0.00,2023-12-12T10:29:22.000-03:00,,,,,,,BRL,"""[]""",42899145772,custom,2000007127080992,,"""{""official_store_id"":null}""",0.00,,547408,,MLB3428434259,,,Mercado Libre, ,52032.88,,,"""""""Bebedouro Industrial 100  - Ideal P Academia Escolas Igrejas"""""""
49,2024-01-09T16:32:06.000-03:00,68403922514,2000007094682466,release,payment,1918.83,0.00,2298.00,0.00,-379.17,0.00,0.00,0.00,0.00,1,master,,0.00,2023-12-08T15:37:57.000-03:00,,,,,,,BRL,"""[]""",42885401212,custom,2000007094682466,,"""{""official_store_id"":null}""",0.00,,548474,,MLB1346937656,,,Mercado Libre, ,53951.71,,,"""""""Bebedouro Refrigerador Industrial Inox 50 Litros C/ Filtro"""""""
50,2024-01-10T03:25:54.000-03:00,68622337944,2000007126517200,release,payment,2246.15,0.00,2690.00,0.00,-443.85,0.00,0.00,0.00,0.00,1,bolbradesco,,0.00,2023-12-13T04:27:20.000-03:00,,,,,,,BRL,"""[]""",42898771089,custom,2000007126517200,,"""{""official_store_id"":null}""",0.00,,,,MLB3491287977,,,Mercado Libre, ,56197.86,,,"""""""Bebedouro De Ãgua 100 Litros AÃ§o InoxidÃ¡vel Coluna 100l"""""""
51,2024-01-10T04:46:00.000-03:00,1029599077344,,release,asset_management,17.65,0.00,17.65,0.00,0.00,0.00,0.00,0.00,0.00,1,available_money,,0.00,2024-01-10T04:46:00.000-03:00,,,,,,,BRL,"""[]""",,,,,"""{}""",0.00,,,,,,,,,56215.51,,,
52,2024-01-10T08:40:45.000-03:00,68496012447,2000007137548396,release,payment,1918.83,0.00,2298.00,0.00,-379.17,0.00,0.00,0.00,0.00,1,master,,0.00,2023-12-13T09:41:44.000-03:00,,,,,,,BRL,"""[]""",42903649006,custom,2000007137548396,,"""{""official_store_id"":null}""",0.00,,524474,,MLB1346937656,,,Mercado Libre, ,58134.34,,,"""""""Bebedouro Refrigerador Industrial Inox 50 Litros C/ Filtro"""""""
